stock_id,name,eps_Y,eps_ttm,roe_last_year,roe_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,roe_status,roe_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1101,台泥,0.1,-1.58,-4.94,-4.6,12.61,3.27,46.76,-0.06,18.72,0.23,1.86,8.42,4.66,1.84,3.63,7.53,1.43,18.63,18.63,0.0,1.12,1.12,0.75,,,False,False,False,False,False,False,False,2026-06-20 06:20:00,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:02
1216,統一,1.15,3.7,23.04,22.83,59.18,2.96,14.84,2.7,33.78,2.05,0.62,5.86,3.27,-0.05,5.58,2.43,0.71,23.05,23.05,18.76,3.89,3.89,2.72,,,False,False,False,False,False,False,False,2026-06-20 06:20:02,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:04
1319,東陽,1.62,5.57,14.02,11.46,1.85,-8.03,28.78,2.54,32.51,-1.17,-5.58,15.76,-2.31,-8.57,16.73,-2.42,-3.89,13.94,19.21,11.45,1.73,2.17,1.55,,,False,False,False,False,False,False,False,2026-06-20 06:20:04,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:07
1532,勤美,-0.09,1.16,4.78,5.48,1.22,10.88,25.11,26.04,21.6,-2.61,1.52,1.48,-3.57,2.59,-0.73,-4.37,3.08,15.28,21.92,15.28,0.91,0.91,0.56,,,False,False,False,False,False,False,False,2026-06-20 06:20:07,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:09
2317,鴻海,3.56,14.13,12.58,13.22,859.41,3.28,44.24,39.57,6.18,0.3,0.07,3.57,0.29,0.74,2.69,0.63,-0.1,11.94,21.95,11.94,1.52,2.43,1.52,,,False,False,False,False,False,False,False,2026-06-20 06:20:09,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:11
2330,台積電,22.08,74.39,35.34,36.87,416.98,1.52,31.27,30.09,66.25,3.92,7.46,58.1,4.1,9.59,50.51,2.2,7.53,17.11,34.87,17.11,4.11,11.05,4.11,,,False,False,False,False,False,False,False,2026-06-20 06:20:11,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:14
2454,聯發科,15.17,62.91,26.62,25.95,47.43,1.49,21.77,4.99,46.3,0.17,-1.84,15.35,0.8,-4.25,16.34,0.98,-2.92,23.55,73.94,23.55,1.76,18.98,1.76,,,False,False,False,False,False,False,False,2026-06-20 06:20:14,ok,,ok,,ok,,ok,,ok,,ok,,missing_token,,,,,,2026-06-20 06:20:16
2881,富邦金,2.14,8.37,12.32,11.26,30.41,-43.01,3.52,-300.3,,,,,,,,,,10.48,18.98,10.48,1.16,2.11,1.16,,,False,False,False,False,False,False,False,2026-06-20 06:20:16,partial_ok,no_data:profit,ok,,ok,,ok,,no_data,empty,ok,,missing_token,,,,,,2026-06-20 06:20:19
2885,元大金,0.74,2.74,11.18,12.47,21.26,23.23,59.67,227.32,,,,,,,,,,10.38,20.92,10.38,0.78,2.53,0.78,,,False,False,False,False,False,False,False,2026-06-20 06:20:19,partial_ok,no_data:profit,ok,,ok,,ok,,no_data,empty,ok,,missing_token,,,,,,2026-06-20 06:20:21
2891,中信金,1.02,4.08,15.54,14.74,19.22,-2.41,-8.08,76.08,,,,,,,,,,11.26,17.33,11.26,1.37,2.57,1.37,,,False,False,False,False,False,False,False,2026-06-20 06:20:21,partial_ok,no_data:profit,ok,,ok,,ok,,no_data,empty,ok,,missing_token,,,,,,2026-06-20 06:20:23
